;Codes;Omschrijving;Dimensie;Omrekenfactor;Groep;Id;"Begin geldigheid";"Eind geldigheid"
Id-fdab2e40-0094-4d38-9d63-b7c40e47a9a3;Bq/l;"becquerel per liter";/L3T;1000;"SI afgeleide eenheid";342;2019-02-22;2100-01-01
Id-a5699432-7afa-4fa1-b257-7b5c5b8625ae;cd;candela;J;1;"SI grondeenheid";282;2021-12-10;2100-01-01
Id-32cb6dd8-cc7c-4431-8dd1-de56bc387a3c;cd/m2;"candela per vierkante meter";J/L2;1;"SI afgeleide eenheid";283;2013-02-09;2100-01-01
Id-8868d1ec-de2d-4d53-b670-343e927b3680;coC;"centigraad Celsius";O;0.01;"SI afgeleide eenheid";169;2012-12-11;2100-01-01
Id-8adef82e-89be-4b08-bc91-d9ff37cbf72f;cm;centimeter;L;0.01;"SI afgeleide eenheid";19;2025-11-28;2100-01-01
Id-fed76a67-bc3d-41d8-b28a-a70e00ff9bf1;cm/s;"centimeter per seconde";L/T;0.01;"SI afgeleide eenheid";166;2012-12-11;2100-01-01
Id-19cb7ff8-1760-4c62-85d5-9f2c60beaa81;cs;centiseconde;T;0.01;"SI afgeleide eenheid";170;2012-12-11;2100-01-01
Id-2cdbe6e2-3881-4ded-a178-09e1ffbaad47;d;dag;T;86400;"SI niet-SI-eenheid";171;2020-12-01;2100-01-01
Id-12348f62-796f-452f-a7df-6c7bc60a7d05;dbar;decibar;M/LT2;10000;"SI niet-SI-eenheid";173;2011-09-27;2100-01-01
Id-66e2d974-2835-4fa5-b668-4419a7411665;dB;decibel;;;Overig;172;2011-09-27;2100-01-01
Id-fee09cb8-8b83-4e35-bf50-52960abb1a8d;doC;"decigraad Celsius";O;0.1;"SI afgeleide eenheid";177;2012-12-11;2100-01-01
Id-60618647-30a1-4f96-9f08-ff26e44af2bf;dl;deciliter;L3;1e-04;"SI niet-SI-eenheid";363;2021-03-17;2100-01-01
Id-3d946545-0b93-40d6-8f18-2c1d2cfabc60;dm;decimeter;L;0.1;"SI afgeleide eenheid";174;2012-12-11;2100-01-01
Id-cd1c79d5-18e1-4822-b371-2da5c58485b6;dm/s;"decimeter per seconde";L/T;0.1;"SI afgeleide eenheid";175;2012-12-11;2100-01-01
Id-d79924f2-8b68-44e4-a50e-4a5be830b8ca;ds;deciseconde;T;0.1;"SI afgeleide eenheid";178;2012-12-11;2100-01-01
Id-a25c25ec-89c3-47c2-81e0-278ac1f26aed;DIMSLS;dimensieloos;;;Overig;119;2011-06-10;2100-01-01
Id-7c7d0486-b5bd-4c7b-abb9-f34e5ca7dbbd;euro;euro;;;Overig;383;2025-04-26;2100-01-01
Id-6426c10f-82fd-486d-a9a2-1fbcf265a1f0;euro/MWh;"euro per megawattuur";;;Overig;375;2023-03-22;2100-01-01
Id-221f84e7-9fca-40f5-9eb8-f33b7bcd408c;n;exemplaren;X;1;Aantal;116;2011-06-10;2100-01-01
